id,name,domain,direction,subdirection,type,hours_min,hours_avg,hours_max,market_min,market_avg,market_max,specialists_raw,roles_model,blend_rate_cost,primary_role,primary_rate_cost,cost_min,cost_avg,cost_max,impro_price_min,impro_price_avg,impro_price_premium,margin_risk,implied_margin_at_market_avg,implied_margin_at_impro_avg
M-048,Аудит веб-аналитики (Метрика/GA),marketing,Аналитика,Аудит,Разовая,6,14,28,12000,30000,60000,Веб-аналитик,ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,12566,29322,58643,17951,47294,106624,NO,2.3,38.0
M-049,Настройка Яндекс.Метрики (полная),marketing,Аналитика,Метрика,Проектная,5,12,25,5000,15000,25000,Веб-аналитик,ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,10472,25133,52360,14960,40537,95200,YES,-67.6,38.0
M-050,Настройка целей и событий (client-side),marketing,Аналитика,События,Разовая,4,10,20,8000,18000,40000,"Веб-аналитик, Frontend (смежно)",FE(54%)+ANALYTICS(46%)+PM_cost(10%),1840,FE,2100,8096,20239,40478,11566,32644,73596,YES,-12.4,38.0
M-051,Настройка коллтрекинга (Calltouch/Callibri и др.),marketing,Аналитика,Коллтрекинг,Проектная,6,14,28,10000,25000,40000,"Аналитик, PPC (смежно)",ANALYTICS(46%)+PPC(54%)+PM_cost(10%),1650,ANALYTICS,2240,10890,25410,50819,15557,40984,92398,NO,-1.6,38.0
M-052,Интеграция аналитики с CRM (базовая сквозная),marketing,Аналитика,Сквозная аналитика,Проектная,15,35,70,30000,70000,150000,"Аналитик, Интегратор CRM",ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,31416,73304,146608,44880,118232,266560,YES,-4.7,38.0
M-053,Сборка маркетингового дашборда (DataLens/Sheets/Power BI),marketing,Аналитика,Отчётность,Проектная,12,28,55,25000,60000,120000,"Аналитик, BI-специалист",ANALYTICS(55%)+BI(45%)+PM_cost(10%),1985,ANALYTICS,2240,26204,61142,120101,37434,98616,218365,NO,-1.9,38.0
M-054,Настройка электронной коммерции в Метрике,marketing,Аналитика,Ecom-аналитика,Проектная,8,18,35,15000,35000,70000,"Веб-аналитик, Frontend",FE(54%)+ANALYTICS(46%)+PM_cost(10%),1840,FE,2100,16191,36430,70837,23130,58758,128795,YES,-4.1,38.0
M-055,Настройка Яндекс.Вебвизора и карт кликов (анализ UX),marketing,Аналитика,UX-аналитика,Разовая,5,12,24,10000,25000,50000,"Аналитик, UX",ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,10472,25133,50266,14960,40537,91393,NO,-0.5,38.0
M-056,Ежемесячная аналитическая отчётность и инсайты,marketing,Аналитика,Отчётность,Ежемесячная,6,12,24,15000,35000,70000,"Маркетинг-аналитик, Аккаунт",ANALYTICS(100%)+PM_cost(15%),1904,ANALYTICS,2240,13138,26275,52550,18769,42379,95545,NO,24.9,38.0
M-057,Настройка Google Tag Manager / аналог контейнера тегов,marketing,Аналитика,Тег-менеджмент,Проектная,6,14,30,10000,25000,55000,Веб-аналитик,ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,12566,29322,62832,17951,47294,114240,YES,-17.3,38.0
M-058,Написание SEO-статьи,marketing,Контент,SEO-копирайтинг,Разовая,4,8,16,3000,8000,15000,"SEO-копирайтер, Редактор",SEO(50%)+CONTENT(50%)+PM_cost(10%),1146,SEO,1432,5042,10083,20166,7203,16263,36665,YES,-26.0,38.0
M-059,Написание коммерческого лендингового текста,marketing,Контент,Коммерческий копирайтинг,Разовая,6,12,24,12000,30000,70000,"Копирайтер, Стратег (опц.)",STRATEGIST(44%)+CONTENT(56%)+PM_cost(10%),1686,STRATEGIST,2900,11129,22259,44517,15899,35902,87500,NO,25.8,38.0
M-060,Рерайт / обновление устаревшего контента,marketing,Контент,Редактура,Разовая,3,6,12,2500,6000,12000,"Копирайтер, SEO",SEO(50%)+CONTENT(50%)+PM_cost(10%),1146,SEO,1432,3781,7562,15125,5401,12197,27500,YES,-26.0,38.0
M-061,Контент-стратегия и рубрикатор,marketing,Контент,Стратегия,Проектная,12,25,45,30000,65000,130000,"Контент-стратег, Редактор",STRATEGIST(44%)+CONTENT(56%)+PM_cost(10%),1686,STRATEGIST,2900,22259,46372,83470,31799,74794,162500,NO,28.7,38.0
M-062,Написание карточек товаров / описаний категорий,marketing,Контент,Ecom-контент,Разовая,6,16,40,5000,15000,40000,Копирайтер ecom,CONTENT(100%)+PM_cost(10%),1074,CONTENT,1264,7091,18909,47274,10130,30498,85953,YES,-26.1,38.0
M-063,Подготовка экспертного интервью / материал с экспертом,marketing,Контент,Экспертный контент,Разовая,8,16,30,15000,35000,70000,"Редактор, Журналист",CONTENT(100%)+PM_cost(10%),1074,CONTENT,1264,9455,18909,35455,13507,36750,87500,NO,46.0,48.5
M-064,Редактура и корректура маркетинговых текстов,marketing,Контент,Редактура,Разовая,2,6,14,3000,10000,25000,"Редактор, Корректор",CONTENT(100%)+PM_cost(10%),1074,CONTENT,1264,2364,7091,16546,3377,11437,31250,NO,29.1,38.0
M-065,Сбор и оформление кейса / портфолио-истории,marketing,Контент,Кейсы,Разовая,8,16,32,15000,35000,70000,"Копирайтер, Аккаунт, Аналитик (цифры)",ANALYTICS(46%)+CONTENT(54%)+PM_cost(15%),1457,ANALYTICS,2240,13407,26814,53628,19153,43248,97505,NO,23.4,38.0
M-066,Контент-план блога / раздела статей на квартал,marketing,Контент,Планирование,Проектная,8,16,28,15000,35000,65000,"Контент-менеджер, SEO",SEO(50%)+CONTENT(50%)+PM_cost(10%),1146,SEO,1432,10083,20166,35291,14404,36750,81250,NO,42.4,45.1
M-067,Аудит репутации бренда (SERM-аудит),marketing,SERM,Аудит,Проектная,10,22,40,20000,45000,90000,"SERM-специалист, PR",SERM(100%)+PM_cost(10%),1217,SERM,1432,13389,29456,53557,19127,47510,112500,NO,34.5,38.0
M-068,Мониторинг упоминаний бренда,marketing,SERM,Мониторинг,Ежемесячная,5,12,25,10000,25000,50000,"SERM, Community",SERM(100%)+PM_cost(10%),1217,SERM,1432,6695,16067,33473,9564,26250,62500,NO,35.7,38.8
M-069,Работа с отзывами: ответы и регламент,marketing,SERM,Отзывы,Ежемесячная,8,20,40,15000,35000,70000,"SERM, Community, Сервис клиента",SERM(100%)+PM_cost(10%),1217,SERM,1432,10711,26778,53557,15301,43190,97376,NO,23.5,38.0
M-070,Вытеснение негатива в выдаче (контентный SERM),marketing,SERM,Вытеснение,Ежемесячная,12,30,55,30000,70000,150000,"SERM, SEO, Копирайтер",SEO(33%)+SERM(33%)+CONTENT(33%)+PM_cost(10%),1170,SEO,1432,15439,38597,70761,27000,73500,187500,NO,44.9,47.5
M-071,Подготовка официальных заявок на удаление/оспаривание контента,marketing,SERM,Юр. SERM,Разовая,6,14,30,15000,40000,90000,"SERM, Юрист (клиент/партнёр)",SERM(100%)+PM_cost(10%),1217,SERM,1432,8034,18745,40168,13500,42000,112500,NO,53.1,55.4
M-072,Создание репутационного контента (позитив),marketing,SERM,Контент SERM,Разовая,10,22,40,20000,45000,90000,"SERM, Копирайтер, PR",SERM(50%)+CONTENT(50%)+PM_cost(10%),1146,SERM,1432,12604,27728,50415,18006,47250,112500,NO,38.4,41.3
M-073,Работа с рейтингом на картах (2ГИС/Яндекс),marketing,SERM,Локальная репутация,Ежемесячная,6,15,30,12000,30000,60000,"Local SERM, SMM",SMM(50%)+SERM(50%)+PM_cost(10%),1253,SMM,1516,8269,20673,41346,11813,33344,75175,NO,31.1,38.0
M-074,Аудит email-маркетинга и базы,marketing,Email / CRM-маркетинг,Аудит,Разовая,6,12,24,12000,28000,55000,"Email-маркетолог, CRM-маркетолог",SEO(100%)+PM_cost(15%),1217,SEO,1432,8399,16797,33595,11999,29400,68750,NO,40.0,42.9
M-075,Настройка ESP и базовых шаблонов писем,marketing,Email / CRM-маркетинг,Инфраструктура,Проектная,6,14,28,15000,35000,70000,"Email-маркетолог, Дизайнер (шаблон)",DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,9453,22057,44113,13504,36750,87500,NO,37.0,40.0
M-076,Сегментация базы и политика коммуникаций,marketing,Email / CRM-маркетинг,Сегментация,Проектная,8,16,30,15000,35000,65000,"CRM-маркетолог, Аналитик",ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,16755,33510,62832,23936,54048,114240,NO,4.3,38.0
M-077,Настройка trigger-цепочек (брошенная заявка/корзина и др.),marketing,Email / CRM-маркетинг,Автоматизации,Проектная,12,28,55,25000,55000,110000,"CRM-маркетолог, Копирайтер, Аналитик",ANALYTICS(46%)+CONTENT(54%)+PM_cost(10%),1457,ANALYTICS,2240,19236,44885,88166,27480,72395,160302,NO,18.4,38.0
M-078,Ежемесячные email-рассылки (производство + отправка),marketing,Email / CRM-маркетинг,Рассылки,Ежемесячная,8,18,35,15000,35000,70000,"Email-маркетолог, Дизайнер, Копирайтер",CONTENT(50%)+DESIGN(50%)+PM_cost(10%),1253,CONTENT,1264,11029,24816,48253,15756,40026,87733,NO,29.1,38.0
M-079,Сбор и рост базы подписчиков (лид-магниты),marketing,Email / CRM-маркетинг,Lead gen,Проектная,8,18,35,15000,35000,70000,"CRM-маркетолог, Копирайтер, Дизайнер",CONTENT(50%)+DESIGN(50%)+PM_cost(10%),1253,CONTENT,1264,11029,24816,48253,15756,40026,87733,NO,29.1,38.0
M-080,SMS / мессенджер-рассылки transactional light,marketing,Email / CRM-маркетинг,Мессенджеры,Разовая,5,12,24,10000,25000,50000,CRM-маркетолог,SEO(100%)+PM_cost(15%),1217,SEO,1432,6999,16797,33595,9999,27092,62500,NO,32.8,38.0
M-081,CRM-маркетинг: аудит воронки и статусов сделок,marketing,Email / CRM-маркетинг,CRM-процессы,Разовая,8,18,35,20000,45000,90000,"CRM-маркетолог, Бизнес-аналитик",ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,16755,37699,73304,23936,60805,133280,NO,16.2,38.0
M-082,Аудит карточек товара на Wildberries,marketing,Маркетплейсы,Wildberries,Разовая,6,14,28,10000,25000,55000,"MP-менеджер, MP-SEO",SEO(100%)+PM_cost(10%),1217,SEO,1432,8034,18745,37490,11477,30234,68750,NO,25.0,38.0
M-083,Аудит карточек товара на Ozon,marketing,Маркетплейсы,Ozon,Разовая,6,14,28,10000,25000,55000,MP-менеджер,SEO(100%)+PM_cost(15%),1217,SEO,1432,8399,19597,39194,11999,31608,71262,NO,21.6,38.0
M-084,SEO-оптимизация карточки WB/Ozon,marketing,Маркетплейсы,SEO карточек,Разовая,6,14,30,8000,20000,45000,"MP-SEO, Копирайтер",SEO(50%)+CONTENT(50%)+PM_cost(10%),1146,SEO,1432,7562,17645,37811,10803,28460,68747,NO,11.8,38.0
M-085,Подготовка ТЗ на инфографику для карточки МП,marketing,Маркетплейсы,Контент МП,Разовая,2,5,10,3000,8000,15000,"MP-менеджер, Дизайнер (смежно)",DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,3151,7877,15755,4501,12705,28645,NO,1.5,38.0
M-086,Дизайн инфографики для маркетплейса (пакет слайдов),marketing,Маркетплейсы,Контент МП,Разовая,6,12,24,8000,18000,40000,"Графический дизайнер, MP-менеджер",DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,9453,18906,37811,13504,30494,68747,YES,-5.0,38.0
M-087,Настройка внутренней рекламы Wildberries,marketing,Маркетплейсы,Реклама МП,Проектная,6,14,28,10000,25000,50000,"MP-реклама, MP-менеджер",SEO(100%)+PM_cost(15%),1217,SEO,1432,8399,19597,39194,11999,31608,71262,NO,21.6,38.0
M-088,Настройка внутренней рекламы Ozon,marketing,Маркетплейсы,Реклама МП,Проектная,6,14,28,10000,25000,50000,MP-реклама,SEO(100%)+PM_cost(15%),1217,SEO,1432,8399,19597,39194,11999,31608,71262,NO,21.6,38.0
M-089,Ведение рекламы на маркетплейсах (ежемесячно),marketing,Маркетплейсы,Реклама МП,Ежемесячная,12,30,60,20000,50000,120000,"MP-реклама, MP-аналитик",ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,25133,62832,125664,35904,101342,228480,YES,-25.7,38.0
M-090,Управление отзывами и вопросами на МП,marketing,Маркетплейсы,Репутация МП,Ежемесячная,10,25,50,15000,35000,80000,"MP-менеджер, Community",SEO(100%)+PM_cost(15%),1217,SEO,1432,13998,34994,69989,19997,56442,127253,NO,0.0,38.0
M-091,Аналитика продаж маркетплейсов и юнит-экономика light,marketing,Маркетплейсы,Аналитика МП,Разовая,10,22,45,20000,45000,90000,"MP-аналитик, Категорийный менеджер",ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,20944,46077,94248,29920,74318,171360,YES,-2.4,38.0
M-092,Подготовка карточки к запуску (listing pack),marketing,Маркетплейсы,Запуск SKU,Проектная,8,18,35,15000,35000,70000,"MP-менеджер, Копирайтер, Дизайнер (ТЗ)",CONTENT(50%)+DESIGN(50%)+PM_cost(10%),1253,CONTENT,1264,11029,24816,48253,15756,40026,87733,NO,29.1,38.0
M-093,Конкурентный мониторинг цен и позиций на МП,marketing,Маркетплейсы,Мониторинг,Ежемесячная,6,15,30,12000,30000,60000,MP-аналитик,ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,12566,31416,62832,17951,50671,114240,YES,-4.7,38.0
M-094,Маркетинговый бренд-аудит (позиционирование),marketing,Брендинг / дизайн-маркетинг,Позиционирование,Проектная,15,35,60,40000,90000,180000,"Бренд-стратег, Маркетолог",BRAND(48%)+STRATEGIST(52%)+PM_cost(10%),2667,BRAND,3400,44012,102694,176047,62874,165635,320085,YES,-14.1,38.0
M-095,Формулирование УТП и платформы сообщений,marketing,Брендинг / дизайн-маркетинг,Месседжинг,Проектная,10,20,40,25000,55000,110000,"Бренд-стратег, Копирайтер",BRAND(29%)+STRATEGIST(31%)+CONTENT(40%)+PM_cost(10%),2030,BRAND,3400,22332,44664,89328,31903,72039,162415,NO,18.8,38.0
M-096,Разработка лендинга: структура и прототип (UX),marketing,Брендинг / дизайн-маркетинг,Landing UX,Проектная,10,22,40,20000,45000,90000,"UX-дизайнер, Маркетолог",DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,15755,34660,63019,22507,55903,114580,NO,23.0,38.0
